,resets.sent.a2b,ack.pkts.sent.a2b,pure.acks.sent.b2a,sack.pkts.sent.b2a,dsack.pkts.sent.a2b,actual.data.bytes.b2a,rexmt.data.bytes.a2b,rexmt.data.bytes.b2a,outoforder.pkts.b2a,pushed.data.pkts.b2a,max.segm.size.b2a,min.segm.size.a2b,min.segm.size.b2a,avg.segm.size.a2b,avg.segm.size.b2a,max.win.adv.a2b,max.win.adv.b2a,min.win.adv.a2b,avg.win.adv.a2b,min.non.zero.owin.b2a,avg.owin.a2b,avg.owin.b2a,wavg.owin.a2b,initial.window.bytes.b2a,initial.window.pkts.b2a,truncated.data.a2b,data.xmit.time.a2b,data.xmit.time.b2a,idletime.max.b2a,throughput.a2b,rtt.min.a2b,rtt.max.a2b,rtt.avg.a2b,rtt.stdev.a2b,rtt.from.3whs.a2b,rtt.full.sz.smpls.a2b,rtt.full.sz.min.a2b,rtt.full.sz.max.a2b,segs.cum.acked.a2b,triple.dupacks.a2b,max.retrans.a2b,min.retr.time.a2b,avg.retr.time.a2b,sdv.retr.time.a2b,fin.pkts.sent.a2b,rtt.samples.b2a,rtt.min.b2a,rtt.max.b2a,rtt.avg.b2a,rtt.stdev.b2a,rtt.from.3whs.b2a,rtt.full.sz.smpls.b2a,rtt.full.sz.min.b2a,rtt.full.sz.max.b2a,rtt.full.sz.avg.b2a,post.loss.acks.b2a,rtt.min.last.b2a,rtt.max.last.b2a,rtt.avg.last.b2a,rtt.sdv.last.b2a,segs.cum.acked.b2a,triple.dupacks.b2a,max.retrans.b2a,min.retr.time.b2a,max.retr.time.b2a,avg.retr.time.b2a,sdv.retr.time.b2a,syn.pkts.sent.b2a,fin.pkts.sent.b2a,duplicate.acks.b2a,abs.downlinkdelay.min,abs.downlinkdelay.50.,abs.downlinkdelay.75.,abs.downlinkdelay.max,abs.uplinkdelay.25.,abs.uplinkdelay.50.,abs.uplinkdelay.avg,abs.uplinkdelay.75.,abs.uplinkdelay.max,abs.downlinkdeltadelay.25.,abs.uplinkdeltadelay.avg,abs.rtt.min,abs.rtt.25.,abs.rtt.50.,abs.rtt.avg,abs.rtt.75.,abs.rtt.max,abs.cwin.min,abs.cwin.25.,abs.cwin.50.,abs.cwin.avg,abs.cwin.75.,abs.cwin.max,abs.rwin.25.,abs.rwin.50.,abs.rwin.75.,abs.rwin.max,abs.winratio.min,abs.winratio.25.,abs.winratio.50.,abs.winratio.avg,abs.winratio.75.,abs.winratio.max,abs.radiobuffer.min,abs.radiobuffer.25.,abs.radiobuffer.50.,abs.radiobuffer.avg,abs.radiobuffer.75.,abs.radiobuffer.max,abs.idletime.50.,abs.idletime.avg,abs.idletime.75.,abs.idletime.max,abs.segmentsizes.min,abs.segmentsizes.25.,abs.segmentsizes.50.,abs.segmentsizes.avg,abs.segmentsizes.75.,abs.segmentsizes.max,abs.packetlost.sum,abs.pushevents.sum,abs.instanttp.min,abs.instanttp.25.,abs.instanttp.50.,abs.instanttp.75.,abs.instanttp.max,abs.burst.sum,abs.rtoevents.sum,abs.theoricalmaxtp.25.,abs.theoricalmaxtp.50.,abs.theoricalmaxtp.avg,abs.theoricalmaxtp.75.,abs.theoricalmaxtp.max,transfer.datarate
8370,100.0,24629.0,8.0,0.0,43.0,405175766.0,0.0,439348.0,17.0,14030.0,65236.0,232.0,4.0,231.0,9459.4,41937920.0,1946752.0,1638400.0,40000544.0,5.0,5.0,153524.0,5.0,24984.0,9.0,460.0,0.0,7.328,264.8,155.0,23.8,54.2,46.4,0.0,38.6,1.0,30.6,38.6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5455.0,0.0,17.8,0.4,0.5,0.5,1.0,0.2,0.5,0.5,2.0,0.0,0.0,0.0,0.0,17621.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,41.0,3.0,38.0,54.0,334.0,8.0,10.0,8.46001510645329,11.0,46.0,25.0,301.460015106453,0.0,38.0,48.0,55.8189604813911,62.0,351.0,0.0,3167756.0,3475141.0,3852854.92833876,3913768.0,7352717.0,41937920.0,41937920.0,41937920.0,41937920.0,0.0585221203149799,0.0761075418141863,0.0828639331659748,0.0964866848490629,0.102345562202417,0.292707487824675,0.0,1606174.75,2148816.0,2401341.72437804,2784797.25,11976195.0,0.0,0.173704709075811,0.0,252.000000000407,1.0,2776.0,6940.0,9557.85228239297,13880.0,65236.0,28.0,14016.0,8e-05,446.19856,480.06304,514.41896,797.85984,14.0,3.0,504.884888880021,608.801560960761,3983937960.44219,731.608631559695,31310144000000.0,448375.109
8379,198.0,15636.0,42.0,0.0,22.0,133444830.0,0.0,72488.0,3190.0,6355.0,55520.0,232.0,1.0,231.0,5670.4,31455232.0,1599360.0,1638400.0,25549822.0,5.0,5.0,881001.0,3.0,19432.0,6.0,460.0,0.0,7.406,163.1,155.0,18.3,48.0,33.9,13.9,20.8,2.0,20.1,32.1,0.0,5.0,0.0,0.0,0.0,0.0,3.0,2265.0,0.0,44.9,0.7,1.3,0.7,2.0,0.2,1.2,0.7,411.0,0.0,0.3,0.3,0.0,11922.0,62.0,1.0,0.0,170.2,34.04,0.0,5.0,0.0,2587.0,3.0,29.0,301.0,1727.0,1.0,11.0,-91.4875222816399,14.0,200.0,12.0,1513.51247771836,1.0,27.0,42.0,135.827804431656,191.0,1741.0,0.0,1042825.0,1844469.0,3130089.71309736,3082700.0,10960755.0,21106688.0,31454208.0,31455232.0,31455232.0,0.0139981800166026,0.0365118273487857,0.0591138076024677,0.156072989489397,0.209670412418906,0.637286395849458,0.0,438221.25,789585.5,1207836.82531194,1504034.5,9483651.0,0.0,0.315478969483661,0.0,154.999999998836,0.0,1388.0,2776.0,5737.42168410912,8056.0,55520.0,397.0,6347.0,8e-05,70.08488,154.74952,327.40704,489.87312,191.0,8.0,121.466482754432,309.086095223377,345.263805922933,483.573894711391,68463.6959315363,131054.31
8402,5.0,25907.0,6.0,0.0,40.0,457404418.0,0.0,440036.0,951.0,13224.0,65236.0,232.0,4.0,231.0,10012.4,41943040.0,1365760.0,1638400.0,40072479.0,5.0,5.0,1084167.0,0.0,44416.0,10.0,460.0,0.0,7.351,191.0,155.0,12.7,20.5,18.4,0.0,20.5,1.0,16.3,20.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4702.0,0.0,44.2,0.5,1.9,0.6,1.0,0.3,0.6,0.6,521.0,0.0,0.0,0.0,0.0,22011.0,256.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3114.0,3.0,37.0,54.0,302.0,7.0,10.0,7.19334113439163,13.0,54.0,22.0,181.193341134392,0.0,35.0,47.0,53.8692214415096,60.0,313.0,0.0,3380026.0,4099780.0,5413293.41447906,6569744.0,15631737.0,41938944.0,41940992.0,41942016.0,41943040.0,0.0447741436349431,0.0912716260467785,0.0992009540027833,0.135476381614217,0.169731211662292,0.400088275823942,0.0,1508936.0,2362065.0,2589710.206809,3217952.0,10595241.0,0.0,0.162788130354137,0.0,171.000000002095,1.0,2776.0,6940.0,10099.8030036712,15268.0,65236.0,182.0,13213.0,0.00032,481.65912,550.84976,604.88512,898.44344,111.0,4.0,582.045037026258,740.081545446135,47037812566.5383,1068.09142854963,70846336000000.0,491072.262
8407,126.0,26205.0,5.0,0.0,0.0,464522131.0,0.0,0.0,249.0,13853.0,65236.0,232.0,4.0,231.0,10136.8,41939968.0,1746560.0,1638400.0,39993566.0,5.0,5.0,436983.0,4.0,22208.0,8.0,460.0,0.0,7.233,115.8,160.0,18.6,30.0,25.2,0.0,20.5,1.0,18.6,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5430.0,0.0,20.9,0.4,0.8,0.7,1.0,0.1,0.7,0.7,167.0,0.0,0.0,0.0,0.0,20190.0,78.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,960.0,3.0,32.0,47.0,187.0,8.0,11.0,10.2491439107911,14.0,39.0,18.0,143.249143910791,0.0,33.0,44.0,49.4408174251898,57.0,202.0,0.0,3379724.0,3818388.0,4600265.58097726,4160693.0,16774440.0,41938944.0,41938944.0,41938944.0,41939968.0,0.0672087737831453,0.0808510581477683,0.0911577233439949,0.116024311290071,0.0994311158621447,0.399972874853501,0.0,1407924.0,2017168.0,2312535.65879357,2742679.0,9894800.0,0.0,0.159565360553183,0.0,61.9999999980791,1.0,2776.0,6940.0,10193.6430457746,15268.0,65236.0,47.0,13852.0,0.00016,477.15708,557.17184,611.17992,895.45944,32.0,0.0,582.787764694455,747.87513923104,5891454037.06795,968.802285679686,134195520000000.0,515530.559
8415,146.0,27219.0,5.0,0.0,2.0,487527222.0,0.0,6940.0,1288.0,13826.0,65236.0,232.0,3.0,231.0,9907.8,41943040.0,1441536.0,1638400.0,40024102.0,5.0,5.0,940632.0,0.0,31924.0,9.0,460.0,0.0,7.309,86.8,160.0,16.2,20.3,20.0,0.0,20.3,1.0,20.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4647.0,0.0,12.6,0.4,0.5,0.9,1.0,0.3,0.9,0.9,943.0,0.0,0.0,0.0,0.0,25595.0,439.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4303.0,3.0,32.0,43.0,199.0,8.0,10.0,9.27463454807494,13.0,40.0,21.0,179.274634548075,0.0,34.0,43.0,47.9819094834738,53.0,217.0,0.0,3824931.0,4440923.0,5419836.91115915,6636647.0,14878441.0,41938944.0,41942016.0,41943040.0,41943040.0,0.0718266880890324,0.0914515480793881,0.107625260944405,0.132438176807406,0.1620759906936,0.35480763690905,0.0,1539015.25,2116485.5,2315343.49318509,2717300.0,10419459.0,0.0,0.151042846260021,0.0,31.9999999992433,0.0,2776.0,6940.0,10062.2003845109,15268.0,65236.0,248.0,13826.0,0.0004,507.67428,558.02448,600.17888,884.71696,189.0,0.0,667.284363628781,863.544470575536,6077600434.15459,1239.4838094943,54932320000000.0,534287.88
8424,211.0,25906.0,9.0,0.0,0.0,472394008.0,0.0,0.0,1560.0,13346.0,65236.0,232.0,2.0,231.0,9810.4,41943040.0,1526784.0,1638400.0,39632101.0,5.0,5.0,1344448.0,0.0,41640.0,10.0,460.0,0.0,7.345,129.5,155.0,18.2,43.5,27.1,14.3,25.2,2.0,18.2,43.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4041.0,0.0,42.6,0.4,0.8,0.7,1.0,0.3,0.7,0.7,1135.0,0.0,0.0,0.0,0.0,27003.0,474.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5057.0,3.0,39.0,50.0,237.0,7.0,10.0,8.72169110725268,13.0,50.0,28.0,219.721691107253,0.0,42.0,50.0,56.2228526302748,60.0,264.0,0.0,4505209.0,5615373.0,6467508.44103927,7588727.0,14564210.0,41937920.0,41939968.0,41940992.0,41943040.0,0.083595447623175,0.107417797843217,0.133890731628598,0.15903161317113,0.19376055343692,0.358403679394967,0.0,2054552.5,2589072.0,2742661.92059076,3179810.0,9193562.0,0.0,0.154261327977981,0.0,106.999999996333,1.0,2776.0,6940.0,9896.88886294158,15268.0,65236.0,278.0,13346.0,0.00016,502.80336,548.9804,592.26416,838.4312,212.0,0.0,678.337729720563,922.226086936473,19272325620.3624,1271.89764702141,66586456000000.0,512390.362
8432,205.0,29046.0,8.0,0.0,0.0,605616419.0,0.0,0.0,1580.0,15736.0,65236.0,232.0,4.0,231.0,10763.6,41942016.0,1427456.0,1638400.0,39730817.0,5.0,5.0,1112681.0,5.0,24984.0,9.0,460.0,0.0,7.361,66.7,155.0,18.7,48.3,38.3,16.5,19.7,2.0,18.7,47.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4924.0,0.0,23.4,0.5,1.0,0.5,1.0,0.2,0.5,0.5,1111.0,0.0,0.0,0.0,0.0,31464.0,468.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5118.0,3.0,31.0,40.0,159.0,7.0,10.0,9.29541370138739,13.0,45.0,20.0,119.295413701387,0.0,33.0,41.0,43.744963285587,51.0,173.0,0.0,4815385.0,6425438.0,6542128.22989001,7831018.0,11583650.0,41937920.0,41938944.0,41940992.0,41942016.0,0.0896048487511902,0.114816134337537,0.15320934165629,0.160481599668702,0.188471769467438,0.357704506983514,0.0,1791209.25,2397426.5,2541392.35144849,3070531.75,10648479.0,0.0,0.133350106931658,0.0,54.0000000037253,1.0,2776.0,6940.0,10897.596394828,16630.0,65236.0,231.0,15734.0,8e-05,614.0836,675.13952,727.72318,936.596,174.0,0.0,870.182399978245,1195.76474996263,16870080056.0911,1675.44184611089,92669200000000.0,662088.479
8441,152.0,26648.0,5.0,0.0,3.0,522930730.0,0.0,19432.0,3819.0,13505.0,65236.0,232.0,4.0,231.0,9602.0,41943040.0,1609344.0,1638400.0,38185833.0,5.0,5.0,3130525.0,5.0,88832.0,32.0,460.0,0.0,7.408,160.0,155.0,24.2,41.7,33.2,0.0,30.2,1.0,24.2,30.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2383.0,0.0,32.5,0.8,3.1,0.7,1.0,0.5,0.7,0.7,2576.0,0.0,0.0,0.0,0.0,39550.0,1063.0,1.0,0.0,14.1,4.8,0.0,5.0,0.0,11163.0,3.0,40.0,56.0,264.0,8.0,11.0,6.46628545967622,14.0,50.0,26.0,220.466285459676,0.0,39.0,51.0,55.582001286889,64.0,268.0,0.0,6131429.0,7886040.0,9200931.48522204,11064504.0,22903771.0,39209984.0,41935872.0,41939968.0,41942016.0,0.0916885906175982,0.147756726810652,0.203803755882694,0.235811151448826,0.290405896128782,0.619737991942243,0.0,1867349.0,2665460.0,2954410.64479058,3541445.5,9995038.0,0.0,0.138369567235418,0.0,154.999999998836,1.0,2776.0,5552.0,9728.20217596973,13880.0,65236.0,437.0,13505.0,0.00032,544.09152,599.32064,638.04552,884.93656,344.0,5.0,908.35985183503,1354.86533331075,87892581626.6213,1890.5097673979,130707400000000.0,561329.153
8450,7.0,14440.0,5.0,0.0,818.0,221733234.0,0.0,5019716.0,524.0,7474.0,65236.0,232.0,1.0,231.0,8914.6,40407040.0,1421696.0,1638400.0,37022660.0,5.0,5.0,574520.0,10.0,70788.0,17.0,460.0,0.0,7.24,200.0,160.0,18.2,73.0,46.4,0.0,20.9,1.0,19.2,20.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2653.0,0.0,44.8,0.4,1.1,0.6,1.0,0.2,0.6,0.6,178.0,0.0,0.0,0.0,0.0,11258.0,100.0,3.0,0.0,136.3,24.44,22.8,5.0,0.0,1536.0,3.0,103.0,184.0,578.0,7.0,10.0,0.413993453355156,13.0,53.0,50.0,225.413993453355,1.0,63.0,107.0,133.362496923695,182.0,513.0,0.0,3800469.0,4261583.0,4986598.48351064,6048694.0,9828988.0,38410240.0,38415360.0,40404992.0,40407040.0,0.0505793542284616,0.098944161765196,0.108583379205741,0.139225690257598,0.150714380464394,0.735695814420391,0.0,2014554.25,2749267.0,3142738.49684943,3861688.75,11318546.0,0.0,0.299439420598196,0.0,199.99999999709,0.0,2776.0,6940.0,8963.8345842593,12492.0,65236.0,297.0,7334.0,0.00016,215.21728,333.91968,393.37528,858.24576,71.0,186.0,217.039870549459,396.53325153131,489.724302365755,549.081379300878,38140.9439809295,237016.266
8458,125.0,22654.0,25.0,0.0,0.0,356395496.0,0.0,0.0,36.0,11979.0,65236.0,232.0,2.0,231.0,9569.8,39000064.0,1364352.0,1638400.0,37422370.0,5.0,5.0,125208.75,4.0,43028.0,13.0,460.0,0.0,7.261,195.4,160.0,17.9,30.3,25.2,1.7,22.3,2.0,18.9,22.3,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4836.0,0.0,43.1,0.4,1.0,0.8,1.0,0.4,0.8,0.8,1.0,0.0,0.0,0.0,0.0,14152.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,3.0,32.0,49.0,524.0,10.0,12.0,9.25087325011508,15.0,168.0,18.0,459.250873250115,0.0,34.0,45.0,57.9914765045684,61.1608751608697,588.0,0.0,2871360.0,3274512.0,4244941.5730687,3402405.0,78656756.0,38999040.0,38999040.0,38999040.0,39000064.0,0.0588784674814893,0.073624494564932,0.08396611766096,0.188068064242988,0.0872433013735723,13.5026620626661,0.0,1097608.5,1613448.0,1960424.96339119,2269970.0,10692093.0,0.0,0.197725426482427,0.0,157.999999995809,1.0,2776.0,6940.0,9647.56603109257,13880.0,65236.0,1.0,11977.0,0.00016,376.552,432.92632,489.42016,615.99264,1.0,0.0,436.721739125688,550.693999988527,5611709732.08821,714.413837818529,58700600000000.0,389605.873
